t, v, gamma, h
-268.48, 6028.53, -1.14529, 1.24769e+06
-268.38, 6028.58, -1.14522, 1.24714e+06
-268.28, 6028.64, -1.14516, 1.24659e+06
-268.18, 6028.7, -1.1451, 1.24604e+06
-268.08, 6028.75, -1.14504, 1.24549e+06
-267.98, 6028.81, -1.14498, 1.24494e+06
-267.88, 6028.86, -1.14492, 1.24439e+06
-267.78, 6028.92, -1.14486, 1.24384e+06
-267.68, 6028.98, -1.1448, 1.24329e+06
-267.58, 6029.03, -1.14474, 1.24275e+06
-267.48, 6029.09, -1.14468, 1.2422e+06
-267.38, 6029.14, -1.14461, 1.24165e+06
-267.28, 6029.2, -1.14455, 1.2411e+06
-267.18, 6029.26, -1.14449, 1.24055e+06
-267.08, 6029.31, -1.14443, 1.24e+06
-266.98, 6029.37, -1.14437, 1.23945e+06
-266.88, 6029.43, -1.14431, 1.2389e+06
-266.78, 6029.48, -1.14425, 1.23835e+06
-266.68, 6029.54, -1.14419, 1.23781e+06
-266.58, 6029.59, -1.14412, 1.23726e+06
-266.48, 6029.65, -1.14406, 1.23671e+06
-266.38, 6029.71, -1.144, 1.23616e+06
-266.28, 6029.76, -1.14394, 1.23561e+06
-266.18, 6029.82, -1.14388, 1.23506e+06
-266.08, 6029.88, -1.14382, 1.23451e+06
-265.98, 6029.93, -1.14376, 1.23396e+06
-265.88, 6029.99, -1.1437, 1.23341e+06
-265.78, 6030.04, -1.14363, 1.23287e+06
-265.68, 6030.1, -1.14357, 1.23232e+06
-265.58, 6030.16, -1.14351, 1.23177e+06
-265.48, 6030.21, -1.14345, 1.23122e+06
-265.38, 6030.27, -1.14339, 1.23067e+06
-265.28, 6030.33, -1.14333, 1.23012e+06
-265.18, 6030.38, -1.14327, 1.22957e+06
-265.08, 6030.44, -1.1432, 1.22902e+06
-264.98, 6030.5, -1.14314, 1.22848e+06
-264.88, 6030.55, -1.14308, 1.22793e+06
-264.78, 6030.61, -1.14302, 1.22738e+06
-264.68, 6030.67, -1.14296, 1.22683e+06
-264.58, 6030.72, -1.1429, 1.22628e+06
-264.48, 6030.78, -1.14284, 1.22573e+06
-264.38, 6030.83, -1.14277, 1.22518e+06
-264.28, 6030.89, -1.14271, 1.22463e+06
-264.18, 6030.95, -1.14265, 1.22409e+06
-264.08, 6031, -1.14259, 1.22354e+06
-263.98, 6031.06, -1.14253, 1.22299e+06
-263.88, 6031.12, -1.14247, 1.22244e+06
-263.78, 6031.17, -1.1424, 1.22189e+06
-263.68, 6031.23, -1.14234, 1.22134e+06
-263.58, 6031.29, -1.14228, 1.22079e+06
-263.48, 6031.34, -1.14222, 1.22025e+06
-263.38, 6031.4, -1.14216, 1.2197e+06
-263.28, 6031.46, -1.1421, 1.21915e+06
-263.18, 6031.51, -1.14203, 1.2186e+06
-263.08, 6031.57, -1.14197, 1.21805e+06
-262.98, 6031.63, -1.14191, 1.2175e+06
-262.88, 6031.68, -1.14185, 1.21695e+06
-262.78, 6031.74, -1.14179, 1.21641e+06
-262.68, 6031.8, -1.14172, 1.21586e+06
-262.58, 6031.86, -1.14166, 1.21531e+06
-262.48, 6031.91, -1.1416, 1.21476e+06
-262.38, 6031.97, -1.14154, 1.21421e+06
-262.28, 6032.03, -1.14148, 1.21366e+06
-262.18, 6032.08, -1.14141, 1.21311e+06
-262.08, 6032.14, -1.14135, 1.21257e+06
-261.98, 6032.2, -1.14129, 1.21202e+06
-261.88, 6032.25, -1.14123, 1.21147e+06
-261.78, 6032.31, -1.14117, 1.21092e+06
-261.68, 6032.37, -1.1411, 1.21037e+06
-261.58, 6032.42, -1.14104, 1.20982e+06
-261.48, 6032.48, -1.14098, 1.20928e+06
-261.38, 6032.54, -1.14092, 1.20873e+06
-261.28, 6032.6, -1.14086, 1.20818e+06
-261.18, 6032.65, -1.14079, 1.20763e+06
-261.08, 6032.71, -1.14073, 1.20708e+06
-260.98, 6032.77, -1.14067, 1.20653e+06
-260.88, 6032.82, -1.14061, 1.20599e+06
-260.78, 6032.88, -1.14055, 1.20544e+06
-260.68, 6032.94, -1.14048, 1.20489e+06
-260.58, 6033, -1.14042, 1.20434e+06
-260.48, 6033.05, -1.14036, 1.20379e+06
-260.38, 6033.11, -1.1403, 1.20324e+06
-260.28, 6033.17, -1.14023, 1.2027e+06
-260.18, 6033.22, -1.14017, 1.20215e+06
-260.08, 6033.28, -1.14011, 1.2016e+06
-259.98, 6033.34, -1.14005, 1.20105e+06
-259.88, 6033.4, -1.13998, 1.2005e+06
-259.78, 6033.45, -1.13992, 1.19995e+06
-259.68, 6033.51, -1.13986, 1.19941e+06
-259.58, 6033.57, -1.1398, 1.19886e+06
-259.48, 6033.62, -1.13973, 1.19831e+06
-259.38, 6033.68, -1.13967, 1.19776e+06
-259.28, 6033.74, -1.13961, 1.19721e+06
-259.18, 6033.8, -1.13955, 1.19667e+06
-259.08, 6033.85, -1.13948, 1.19612e+06
-258.98, 6033.91, -1.13942, 1.19557e+06
-258.88, 6033.97, -1.13936, 1.19502e+06
-258.78, 6034.03, -1.1393, 1.19447e+06
-258.68, 6034.08, -1.13923, 1.19392e+06
-258.58, 6034.14, -1.13917, 1.19338e+06
-258.48, 6034.2, -1.13911, 1.19283e+06
-258.38, 6034.26, -1.13905, 1.19228e+06
-258.28, 6034.31, -1.13898, 1.19173e+06
-258.18, 6034.37, -1.13892, 1.19118e+06
-258.08, 6034.43, -1.13886, 1.19064e+06
-257.98, 6034.49, -1.1388, 1.19009e+06
-257.88, 6034.54, -1.13873, 1.18954e+06
-257.78, 6034.6, -1.13867, 1.18899e+06
-257.68, 6034.66, -1.13861, 1.18844e+06
-257.58, 6034.72, -1.13855, 1.1879e+06
-257.48, 6034.77, -1.13848, 1.18735e+06
-257.38, 6034.83, -1.13842, 1.1868e+06
-257.28, 6034.89, -1.13836, 1.18625e+06
-257.18, 6034.95, -1.13829, 1.1857e+06
-257.08, 6035, -1.13823, 1.18516e+06
-256.98, 6035.06, -1.13817, 1.18461e+06
-256.88, 6035.12, -1.13811, 1.18406e+06
-256.78, 6035.18, -1.13804, 1.18351e+06
-256.68, 6035.23, -1.13798, 1.18297e+06
-256.58, 6035.29, -1.13792, 1.18242e+06
-256.48, 6035.35, -1.13785, 1.18187e+06
-256.38, 6035.41, -1.13779, 1.18132e+06
-256.28, 6035.47, -1.13773, 1.18077e+06
-256.18, 6035.52, -1.13766, 1.18023e+06
-256.08, 6035.58, -1.1376, 1.17968e+06
-255.98, 6035.64, -1.13754, 1.17913e+06
-255.88, 6035.7, -1.13748, 1.17858e+06
-255.78, 6035.75, -1.13741, 1.17804e+06
-255.68, 6035.81, -1.13735, 1.17749e+06
-255.58, 6035.87, -1.13729, 1.17694e+06
-255.48, 6035.93, -1.13722, 1.17639e+06
-255.38, 6035.99, -1.13716, 1.17584e+06
-255.28, 6036.04, -1.1371, 1.1753e+06
-255.18, 6036.1, -1.13703, 1.17475e+06
-255.08, 6036.16, -1.13697, 1.1742e+06
-254.98, 6036.22, -1.13691, 1.17365e+06
